"","ID_uniprot","GeneID_entrez"
"2754","P13674",5033
"4046","P13693",7178
"449","P13716",210
"2124","P13796",3936
"2937","P13797",5358
"520","P13798",327
"1438","P13804",2108
"1769","P13807",2997
"3063","P13861",5576
"1753","P13984",2963
"841","P13987",966
"2438","P13995",10797
"2317","P14174",4282
"3068","P14314",5589
"1529","P14324",2224
"1026","P14384",1368
"1022","P14406",1347
"444","P14550",10327
"2915","P14618",5315
"1904","P14625",7184
"815","P14635",891
"2469","P14649",140465
"1938","P14735",3416
"1020","P14854",1340
"1875","P14866",3191
"1120","P14868",1615
"2033","P14923",3728
"4223","P14927",7381
"1663","P15104",2752
"445","P15121",231
"494","P15144",290
"3175","P15151",5817
"3229","P15153",5880
"1737","P15170",2935
"583","P15289",410
"661","P15291",2683
"369","P15309",55
"1466","P15311",7430
"4196","P15374",7347
"1567","P15407",8061
"163","P15531",4830
"2645","P15559",1728
"1693","P15586",2799
"2892","P15735",5261
"3410","P15880",6187
"1277","P15924",1832
"3343","P15927",6118
"2450","P15941",4582
"1024","P15954",1350
"838","P16070",960
"2019","P16144",3691
"789","P16152",873
"1652","P16278",2720
"2517","P16333",4690
"1818","P16401",3009
"1820","P16402",3007
"1819","P16403",3006
"1395","P16422",4072
"2981","P16435",5447
"2306","P16455",4255
"620","P16615",488
"2924","P16885",5336
"3806","P16949",3925
"4364","P16989",8531
"4395","P17029",7586
"2494","P17050",4668
"1913","P17066",3310
"1852","P17096",3159
"1705","P17174",2805
"3064","P17252",5578
"2013","P17301",3673
"4192","P17480",7343
"2032","P17535",3727
"3058","P17612",5566
"771","P17655",824
"1847","P17693",3135
"1079","P17812",1503
"1386","P17813",2022
"1169","P17844",1655
"2864","P17858",5211
"2138","P17931",3958
"3114","P17980",5702
"3907","P17987",6950
"3159","P18031",5770
"1417","P18074",2068
"3378","P18077",6165
"2020","P18084",3693
"536","P18085",378
"3386","P18124",6129
"4274","P18206",7414
"2021","P18564",3694
"3714","P18583",6651
"2572","P18615",7936
"3358","P18621",6139
"2868","P18669",5223
"3289","P18754",1104
"3505","P18827",6382
"2142","P18858",3978
"631","P18859",522
"4353","P18887",7515
"2467","P19105",10627
"2923","P19174",5335
"2520","P19338",4691
"1842","P19367",3098
"188","P19387",5432
"2561","P19404",4729
"1418","P19447",2071
"1331","P19525",5610
"3750","P19623",6723
"1060","P19784",1459
"3464","P19793",6256
"2580","P19838",4790
"4144","P19971",1890
"621","P20020",490
"1339","P20042",8894
"502","P20073",310
"814","P20248",890
"718","P20290",689
"203","P20339",5868
"3216","P20340",5870
"152","P20585",4437
"2456","P20591",4599
"3103","P20618",5689
"2210","P20645",4074
"1018","P20674",9377
"2157","P20700",4001
"784","P20810",831
"1972","P20839",3614
"3258","P20936",5921
"3158","P20962",5763
"864","P21127",984
"1743","P21266",2947
"639","P21281",526
"640","P21283",528
"1062","P21291",1465
"1554","P21333",2316
"2576","P21359",4763
"360","P21399",48
"2665","P21589",4907
"4277","P21796",7416
"3512","P21912",6390
"845","P21926",928
"62","P21964",1312
"3925","P21980",7052
"2452","P22033",4594
"2733","P22059",5007
"2808","P22061",5110
"1518","P22087",2091
"1614","P22102",2618
"862","P22223",1001
"2769","P22234",10606
"3498","P22307",6342
"4150","P22314",7317
"2605","P22392",4831
"1531","P22570",2232
"1864","P22626",3181
"757","P22676",794
"42","P22681",867
"4225","P22695",7385
"3901","P23193",6917
"2016","P23229",3655
"3568","P23246",6421
"4124","P23258",7283
"2994","P23284",5479
"2277","P23368",4200
"4311","P23381",7453
"3420","P23396",6188
"3428","P23443",6198
"3164","P23469",5791
"3720","P23497",6672
"418","P23526",191
"892","P23528",1072
"1357","P23588",1975
"1470","P23610",8263
"622","P23634",493
"1189","P23743",1606
"1039","P23786",1376
"75","P23919",1841
"3438","P23921",6240
"907","P24386",1121
"2647","P24468",7026
"1311","P24534",1933
"628","P24539",515
"367","P24666",52
"354","P24752",38
"4003","P24821",3371
"2968","P24928",5430
"867","P24941",1017
"402","P25098",156
"2264","P25205",4172
"2353","P25325",4357
"3401","P25398",6206
"709","P25440",6046
"305","P25490",7528
"1233","P25685",3337
"1236","P25686",3300
"624","P25705",498
"3097","P25786",5682
"197","P25787",5683
"3098","P25788",5684
"3099","P25789",5685
"2014","P26006",3675
"2419","P26038",4478
"1177","P26196",1656
"1254","P26358",1786
"4146","P26368",11338
"3354","P26373",6137
"2027","P26440",3712
"142","P26572",4245
"1854","P26583",3148
"3142","P26599",5725
"3878","P26639",6897
"4269","P26640",7407
"1314","P26641",1937
"1547","P26885",2286
"3807","P27105",2040
"435","P27144",205
"2225","P27338",4129
"4376","P27348",10971
"2238","P27361",5595
"3350","P27635",6134
"3342","P27694",6117
"521","P27695",328
"1131","P27707",1633
"756","P27708",790
"759","P27797",811
"2232","P27816",4134
"766","P27824",821
"3110","P28062",5696
"3111","P28065",5698
"3100","P28066",5686
"3106","P28070",5692
"3108","P28072",5694
"3107","P28074",5693
"1742","P28161",2946
"328","P28288",5825
"3774","P28290",6744
"2552","P28331",4719
"2957","P28340",5424
"3647","P28370",6594
"2235","P28482",5594
"1622","P28676",25801
"1729","P28799",2896
"2113","P28838",51056
"1750","P29083",2960
"1751","P29084",2961
"4043","P29144",7174
"1970","P29218",3612
"1397","P29317",1969
"1398","P29323",2048
"3163","P29350",5777
"3585","P29353",6464
"2346","P29372",4350
"1040","P29373",1382
"3954","P29401",7086
"3286","P29558",5937
"2942","P29590",5371
"1312","P29692",1936
"2244","P29966",4082
"1671","P29992",2767
"1429","P30040",10961
"3051","P30041",9588
"697","P30043",645
"3050","P30044",25824
"1148","P30046",1652
"3048","P30048",10935
"627","P30049",513
"3353","P30050",6136
"1300","P30084",1892
"960","P30085",51727
"2846","P30086",5037
"2829","P30101",2923
"3027","P30153",5518
"850","P30260",996
"2998","P30405",10105
"2598","P30414",4820
"2609","P30419",4836
"1859","P30519",3163
"405","P30520",159
"2173","P30533",4043
"404","P30566",158
"942","P30622",6249
"3749","P30626",6717
"3551","P30740",1992
"455","P30837",219
"457","P30838",218
"2969","P30876",5431
"3510","P31040",6389
"1628","P31150",2664
"2250","P31153",4144
"3062","P31321",5575
"3439","P31350",6241
"3506","P31431",6385
"1230","P31689",3301
"448","P31749",207
"4224","P31930",7384
"1811","P31937",11112
"608","P31939",471
"1873","P31942",3189
"1871","P31943",3187
"4372","P31946",7529
"3567","P31947",2810
"3799","P31948",10963
"222","P31949",6282
"3047","P32119",7001
"1134","P32321",1635
"3179","P32322",5831
"1621","P32455",2633
"3390","P32969",6133
"372","P33121",2180
"2075","P33176",3799
"1067","P33240",1478
"1286","P33316",1854
"327","P33527",4363
"279","P33981",7272
"2265","P33991",4173
"2266","P33992",4174
"2268","P33993",4176
"1601","P34059",2588
"3587","P34896",6470
"3588","P34897",6472
"1400","P34913",2053
"1910","P34932",3308
"2349","P34949",4351
"1709","P35052",2817
"2867","P35080",5217
"1074","P35221",1495
"1076","P35222",1499
"2881","P35232",5245
"3553","P35237",5269
"2577","P35240",4771
"3297","P35241",5962
"3344","P35244",6119
"3308","P35249",5984
"3306","P35250",5982
"3305","P35251",5981
"3363","P35268",6146
"1752","P35269",2962
"3737","P35270",6697
"1520","P35555",2200
"2002","P35568",3667
"410","P35573",178
"2465","P35579",4627
"2463","P35580",4628
"998","P35606",9276
